vote_average,budget,revenue,popularity,runtime,vote_count,profit,roi,log_budget,log_revenue,log_popularity,overview_length,director_success_rate,lead_actor_success_rate,genre_popularity_score,release_year,release_month,decade,is_modern,is_summer_release,has_tagline,budget_tier_encoded,release_season_encoded,is_english,title,overview_vader_pos,overview_vader_neg,overview_vader_neu,overview_vader_compound,tagline_vader_pos,tagline_vader_neg,tagline_vader_neu,tagline_vader_compound,overview_word_count,tagline_word_count
7.3,2000000,9250000,23.962109,153.0,395,7250000,4.625,14.508658238524095,16.04013421759671,3.217359035124017,261,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,0,3,1,Lolita,0.059,0.099,0.842,-0.2263,0.0,0.0,1.0,0.0,43,9
5.3,55000000,6416302,12.669778,96.0,123,-48583698,0.1166600363636363,17.822843761378564,15.674352653099175,2.6151874106625117,324,7.5,7.5,7.52,2002.0,4.0,2000.0,1,0,1,3,1,1,D-Tox,0.0,0.254,0.746,-0.94,0.0,0.589,0.411,-0.6486,55,4
6.2,54000000,155010032,67.169587,117.0,1528,101010032,2.870556148148148,17.804494623047066,18.859000401820943,4.221998526972889,377,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Blade II,0.071,0.051,0.878,0.34,0.0,0.0,1.0,0.0,63,3
7.5,55000000,168167691,41.472404,123.0,2039,113167691,3.057594381818182,17.822843761378564,18.940472206197107,3.748854547385311,134,7.6,7.6,7.666666666666667,2005.0,7.0,2000.0,0,0,1,3,3,1,Seven Pounds,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,22,6
5.2,55000000,9489829,22.503935,92.0,481,-45510171,0.1725423454545454,17.822843761378564,16.065731256832404,3.157167853940972,124,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Bullet to the Head,0.096,0.253,0.651,-0.6808,0.0,0.531,0.469,-0.5267,22,4
7.1,54000000,136766062,59.194915,162.0,1546,82766062,2.532704851851852,17.804494623047066,18.733782454891035,4.097587880308578,196,7.859999999999999,7.659999999999999,7.871428571428572,2005.0,7.0,2000.0,0,0,1,3,3,1,The Godfather: Part III,0.057,0.081,0.863,-0.2263,0.0,0.0,1.0,0.0,34,8
6.1,57000000,52034889,22.894898,123.0,327,-4965111,0.9128927894736842,17.858561843342684,17.767425013090104,3.173664963345556,362,7.5,7.5,7.52,2005.0,6.0,2000.0,1,1,1,3,2,1,Elizabethtown,0.068,0.154,0.778,-0.7783,0.0,0.0,1.0,0.0,67,9
5.4,54000000,130431368,18.600367,108.0,407,76431368,2.4153957037037035,17.804494623047066,18.686357738342902,2.9755482905509663,363,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,"You, Me and Dupree",0.068,0.091,0.841,-0.3716,0.0,0.0,1.0,0.0,62,5
6.5,54000000,190458706,30.515175,127.0,629,136458706,3.527013074074074,17.804494623047066,19.06494596788008,3.450469175860968,346,7.5,7.5,7.52,1980.0,4.0,1980.0,0,0,1,3,1,1,Superman II,0.064,0.069,0.867,0.1779,0.0,0.0,1.0,0.0,61,7
3.5,54000000,7266209,9.053456,121.0,104,-46733791,0.1345594259259259,17.804494623047066,15.79874539307974,2.307916455988719,363,7.5,7.5,7.52,2003.0,1.0,2000.0,1,0,1,3,0,1,Gigli,0.072,0.05,0.878,0.3182,0.0,0.289,0.711,-0.2584,58,6
5.7,55000000,9450897,7.768223,125.0,95,-45549103,0.1718344909090909,17.822843761378564,16.061620321410224,2.1711341632763967,208,7.5,7.5,7.52,2006.0,10.0,2000.0,1,0,1,3,3,1,All the King's Men,0.065,0.0,0.935,0.3182,0.195,0.0,0.805,0.5267,34,15
