actor,success_rate,movie_count
Natalya Bondarchuk,7.7,1
Nathan Fillion,7.4,1
Nicolas Cage,7.15,2
Nicole Kidman,7.4,1
Nora Twomey,7.3,1
O'Shea Jackson Jr.,7.7,1
Omar Sharif,7.4,1
Owen Wilson,7.4,1
Paddy Considine,7.2,1
Patrick Stewart,7.5,1
Paul Newman,7.575,4
Paul Scofield,7.5,1
Peter Billingsley,7.4,1
Peter Dinklage,7.4,1
Peter O'Toole,7.8,1
Peter Sellers,8.0,1
Phil Harris,6.7,1
Phil Lord,7.5,1
Philip Seymour Hoffman,7.4,1
Quentin Tarantino,7.2,1
Quinton Aaron,7.2,1
Ralph Fiennes,8.0,1
Ray Milland,7.4,1
Richard Dreyfuss,7.2,1
Richard Farnsworth,7.7,1
Richard Gere,7.65,2
Rob Minkoff,8.0,1
Robert De Niro,7.857142857142857,7
Robert Downey Jr.,7.266666666666667,3
Robin Williams,8.0,2
Ron Livingston,7.4,1
Ronnie Del Carmen,8.0,1
Roy Scheider,7.4,2
Rufus Sewell,7.2,1
Russell Crowe,7.42,5
Ryan Gosling,7.4,1
Ryan O'Neal,7.7,1
Ryan Reynolds,7.4,1
Sam Neill,7.6,1
Sam Riley,7.5,1
Sam Rockwell,7.6,1
Sam Shepard,7.3,1
Sam Worthington,7.2,1
Samuel Armstrong,7.2,1
Samuel L. Jackson,7.6,1
Sandra Bullock,7.3,1
Sanjay Dutt,7.6,1
Saoirse Ronan,7.0,1
Scarlett Johansson,7.3,1
Sean Connery,7.2,1
Sean Penn,7.333333333333333,3
Shah Rukh Khan,7.550000000000001,2
Shailene Woodley,7.6,1
Sharlto Copley,7.3,1
Sigourney Weaver,7.800000000000001,2
Simon Pegg,7.45,2
Spencer Tracy,7.6,1
Stanley Baker,6.7,1
Steve McQueen,7.8,1
Suraj Sharma,7.2,1
Susanne Lothar,6.3,1
Sylvester Stallone,7.35,2
Terry Jones,7.8,1
Thomas Turgoose,7.4,1
Tim Robbins,8.5,1
Tom Cruise,7.32,5
Tom Hanks,7.645454545454545,11
Tom Hardy,7.45,2
Topol,7.4,1
Trey Parker,7.1,1
Ulrich MÃ¼he,7.9,1
Uma Thurman,7.65,2
Valerie Faris,7.5,1
Vicky Jenson,7.3,1
Vivien Leigh,7.6,1
Wil Wheaton,7.8,1
Will Smith,7.6,2
Willem Dafoe,7.2,1
William Holden,7.65,2
William Shatner,7.3,1
Woody Allen,7.8,1
Zach Galifianakis,7.2,1
Zooey Deschanel,7.2,1
