budget,revenue,popularity,runtime,vote_count,profit,roi,log_budget,log_revenue,log_popularity,overview_length,director_success_rate,lead_actor_success_rate,genre_popularity_score,release_year,release_month,decade,is_modern,is_summer_release,has_tagline,budget_tier_encoded,release_season_encoded,is_english
-0.07559465,0.013987459,0.008154712,0.54059285,0.2864194,0.012660829,-0.012980025,-0.016781684,-0.005550061,0.00014131187,-0.023900054,-0.01889863,-0.044425737,-0.031810593,-0.0009780509,0.00322879,0.0006344074,-0.0024993196,-0.0006363255,-0.008265531,-0.0019437298,-0.0071068434,-0.016921738
-0.111488506,0.052092876,-0.054719128,-0.17173734,-0.55751705,-0.13871568,-0.022610467,-0.035402656,-0.01880603,-0.041049793,0.07301912,-0.01599132,-0.043152653,-0.021980366,0.10894666,0.09732872,0.019540317,-0.008622707,0.0003277795,-0.017609455,-0.0028881389,0.034385398,-0.023616958
-0.22540873,0.0038321966,0.033747207,0.2758522,-0.021552552,-0.039825883,-0.062439404,-0.039366685,-0.029507112,0.013806887,0.089432485,-0.023045633,-0.045260504,-0.040583402,0.0058653587,-0.0022518116,-0.0007042234,-0.0030547832,-0.000116166135,-0.007260021,-0.00085029245,-0.008704518,-0.012739383
-0.023274804,0.0060264827,-0.12515026,-0.15635169,-0.91414165,-0.17118292,-0.05095069,-0.004046438,0.006428548,-0.037983622,-0.46285468,-0.019865077,-0.040719274,-0.024031283,-0.4021891,-0.02825066,-0.03384282,-0.007914669,-0.00032874462,0.13818917,-0.0007617573,-0.0011829744,0.31873044
-0.17116793,-0.026854407,0.03485733,0.0010902394,0.009627493,0.028308071,-0.047089096,-0.040980864,-0.02190766,0.010948168,-0.007878308,-0.017879937,-0.046293903,-0.02423,0.0048854016,0.0034736914,0.0015446498,-0.0027961873,-0.00023996769,-0.015293381,0.00032756658,-0.009913973,-0.023177294
-0.194278,-0.035257578,-0.042525437,0.13135278,0.20457749,-0.00906126,-0.05232622,-0.041336544,-0.012375243,-0.007226679,0.0075141606,-0.02404093,-0.04861498,-0.040295515,-0.009698599,0.017016936,-0.0007363672,0.005295938,-0.0001999735,-0.010064833,-0.002456951,0.008611497,-0.018315906
-0.17513873,0.0017093846,0.032685,0.40172905,0.015604349,-0.08826802,-0.08032877,-0.034819722,0.009113342,0.013395288,0.11537111,-0.022008015,-0.04440318,-0.03550677,0.012043308,-0.008543323,0.0009214859,-0.0018555645,-0.00020139836,-0.010027042,-0.0019040881,-0.008961501,-0.01591854
-0.13000955,0.0051349066,-0.022363517,0.17797613,0.23008642,-0.0008046528,-0.028558346,-0.030852709,-0.012659902,-0.004072415,-0.010696169,-0.02214347,-0.04833352,-0.039906614,-0.0012952514,0.0034361728,0.00095883163,-0.0023562894,-0.00017532434,-0.009526729,-0.0019565336,-0.0058068796,-0.01930721
0.031440463,0.0022272367,-0.03805737,0.025703695,0.6547561,0.022931091,-0.059694,0.003266686,-0.013167789,-0.007252264,-0.0054530622,0.1715867,0.45973918,0.20024695,0.0073791756,0.003189405,0.0023093007,-0.003949878,-0.00028982153,-0.012197553,0.00045015546,-0.0064255535,-0.012129985
-0.061536103,-0.041933913,0.022138642,0.023377879,-0.11619938,-0.02721572,0.053527657,-0.027035147,-0.017375555,-0.005077453,-0.013957449,-0.01997697,-0.0395918,-0.022150015,0.033748228,0.005074329,0.0023294638,0.0032188843,0.0028817037,-0.01483378,0.000571477,0.008510127,-0.025479648
