director,success_rate,movie_count
Ron Howard,7.44,5
Ruben Fleischer,7.2,1
Ryan Coogler,7.3,1
Sam Mendes,7.366666666666667,3
Sam Peckinpah,7.6,1
Sam Raimi,7.6,1
Scott Hicks,7.3,1
Sean Penn,7.8,1
Sergio Leone,8.149999999999999,2
Shane Meadows,7.300000000000001,2
Sidney Lumet,7.766666666666667,3
Sofia Coppola,7.3,1
Spike Jonze,7.5,3
Spike Lee,7.325,4
Stanley Donen,7.8,1
Stanley Kramer,7.6,1
Stanley Kubrick,7.925,4
Stephen Chbosky,7.7,1
Stephen Daldry,7.4,1
Stephen Frears,7.4,1
Steve McQueen,7.9,1
Steven Soderbergh,7.2,1
Steven Spielberg,7.566666666666666,12
Tate Taylor,7.8,1
Taylor Hackford,7.45,2
Ted Demme,7.4,1
Ted Kotcheff,7.2,1
Terrence Malick,7.4,2
Terry George,7.5,1
Terry Gilliam,7.5,3
Tim Burton,7.466666666666666,3
Tim Miller,7.4,1
Todd Phillips,7.2,1
Todd Solondz,7.4,1
Tom Hooper,7.6,1
Tom McCarthy,7.6,2
Tomm Moore,7.3,1
Tony Bancroft,7.6,1
Tony Kaye,8.2,1
Tony Scott,7.4,2
Trey Parker,7.1,1
Troy Duffy,7.2,1
Victor Fleming,7.550000000000001,2
Vincent Paronnaud,7.7,1
Wes Anderson,7.6,5
William Friedkin,7.45,2
William Wyler,6.449999999999999,2
Wolfgang Petersen,7.9,1
Wolfgang Reitherman,6.7,1
Woody Allen,7.5,3
Yash Chopra,7.4,1
Zack Snyder,7.0,2
