vote_average,budget,revenue,popularity,runtime,vote_count,profit,roi,log_budget,log_revenue,log_popularity,overview_length,director_success_rate,lead_actor_success_rate,genre_popularity_score,release_year,release_month,decade,is_modern,is_summer_release,has_tagline,budget_tier_encoded,release_season_encoded,is_english,title
7.6,250000000,958400000,94.370564,161.0,4524,708400000,3.8336,19.33697147982652,20.680775786368866,4.5577699773827085,191,7.74,7.6,7.3,2013.0,11.0,2010.0,1,0,1,3,3,1,The Hobbit: The Desolation of Smaug
5.8,180000000,372234864,42.990906,113.0,1303,192234864,2.067971466666666,19.00846741441004,19.73503557054199,3.783982930738449,221,7.5,7.5,7.5200000000000005,2007.0,4.0,2000.0,1,0,1,3,1,1,The Golden Compass
6.6,207000000,550000000,61.22601,187.0,2337,343000000,2.657004830917874,19.14822935606056,20.125428838008972,4.130773079540168,216,6.6,6.6,6.6,2005.0,7.0,2000.0,0,0,1,3,3,1,King Kong
7.5,200000000,1845034188,100.025899,194.0,7562,1645034188,9.22517094,19.11382792951231,21.33576364489052,4.6153769097123725,681,7.4799999999999995,7.6875,7.552631578947368,2005.0,7.0,2000.0,0,0,1,3,3,1,Titanic
7.1,250000000,1153304495,198.372395,147.0,7241,903304495,4.61321798,19.33697147982652,20.865897133567135,5.295174407623029,295,7.35,7.35,7.45625,2005.0,7.0,2000.0,0,0,1,3,3,1,Captain America: Civil War
5.5,209000000,303025485,64.928382,131.0,2114,94025485,1.4498827033492825,19.157844814713773,19.52932747214763,4.188569031644029,539,7.5,7.5,7.5200000000000005,2012.0,11.0,2010.0,1,0,1,3,3,1,Battleship
6.5,150000000,1513528810,418.708552,124.0,8662,1363528810,10.090192066666669,18.826145858727198,21.137709722254115,6.039560546591324,175,7.5,7.5,7.5200000000000005,2015.0,9.0,2010.0,1,0,1,3,3,1,Jurassic World
6.9,200000000,1108561013,93.004993,143.0,7604,908561013,5.542805065,19.11382792951231,20.826328627454465,4.543347897880621,544,7.366666666666667,7.133333333333333,7.075,2005.0,7.0,2000.0,0,0,1,3,3,1,Skyfall
6.7,200000000,783766341,35.149586,127.0,4321,583766341,3.918831705,19.11382792951231,20.47962150073071,3.587665496257038,328,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Spider-Man 2
6.8,200000000,1215439994,77.68208,130.0,8806,1015439994,6.07719997,19.11382792951231,20.91837198398605,4.365415429368683,136,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Iron Man 3
6.4,200000000,1025491110,78.530105,108.0,4645,825491110,5.12745555,19.11382792951231,20.748437467472296,4.376135629224679,626,7.5,7.5,7.5200000000000005,2010.0,3.0,2010.0,1,0,1,3,1,1,Alice in Wonderland
6.3,210000000,459359555,3.857526,104.0,3525,249359555,2.187426452380953,19.162618093443648,19.94534380777439,1.58052925480274,169,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,X-Men: The Last Stand
7.0,200000000,743559607,89.186492,104.0,3528,543559607,3.717798035,19.11382792951231,20.426959492809576,4.501879659756453,144,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Monsters University
6.0,150000000,836297228,21.939663,150.0,3138,686297228,5.575314853333333,18.826145858727198,20.544494644941985,3.13286742109637,186,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Transformers: Revenge of the Fallen
5.8,210000000,1091405097,116.840296,165.0,3095,881405097,5.1971671285714285,19.162618093443648,20.810731783770184,4.769330284031736,437,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Transformers: Age of Extinction
5.7,200000000,491868548,46.985445,130.0,3530,291868548,2.45934274,19.11382792951231,20.013722061929226,3.8708977357579646,209,7.5,7.5,7.5200000000000005,2013.0,7.0,2010.0,1,1,1,3,2,1,Oz: The Great and Powerful
6.5,200000000,705717432,89.270217,142.0,4179,505717432,3.52858716,19.11382792951231,20.374725478797583,4.502807583206587,471,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,The Amazing Spider-Man 2
6.3,170000000,400062763,73.79505,125.0,2841,230062763,2.3533103705882352,18.951309000896888,19.80713200276317,4.314751706320084,249,7.5,7.5,7.5200000000000005,2010.0,10.0,2010.0,1,0,1,3,3,1,TRON: Legacy
5.8,200000000,559852396,49.98659,106.0,2033,359852396,2.79926198,19.11382792951231,20.14318373016529,3.9315626569727633,239,7.5,7.5,7.5200000000000005,2011.0,11.0,2010.0,1,0,1,3,3,1,Cars 2
5.1,200000000,219851172,51.872839,114.0,2487,19851172,1.09925586,19.11382792951231,19.208461389032852,3.9678897665548822,365,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Green Lantern
7.6,200000000,1066969703,59.995418,103.0,4597,866969703,5.334848515,19.11382792951231,20.78808841523593,4.1107987465979585,247,7.6,7.645454545454545,7.507692307692308,2005.0,7.0,2000.0,0,0,1,3,3,1,Toy Story 3
5.9,200000000,371353001,71.862892,115.0,2463,171353001,1.856765005,19.11382792951231,19.732663656064677,4.288579483353765,325,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Terminator Salvation
7.3,190000000,1506249360,102.322217,137.0,4176,1316249360,7.927628210526316,19.06253463538792,21.132888530970785,4.637852425604862,91,7.5,7.5,7.5200000000000005,2015.0,1.0,2010.0,1,0,1,3,0,1,Furious 7
6.7,200000000,531865000,81.834855,116.0,5560,331865000,2.659325,19.11382792951231,20.091900257585234,4.416848926921172,456,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,World War Z
7.5,250000000,747862775,118.078691,131.0,6032,497862775,2.9914511,19.33697147982652,20.432730064563454,4.779784543477146,208,7.8,7.5,7.45625,2005.0,7.0,2000.0,0,0,1,3,3,1,X-Men: Days of Future Past
7.4,190000000,467365246,78.291018,132.0,4418,277365246,2.4598170842105263,19.06253463538792,19.96262162343216,4.373124856147531,555,7.4,7.4,7.45625,2013.0,5.0,2010.0,1,0,1,3,1,1,Star Trek Into Darkness
5.5,195000000,197687603,43.349855,114.0,2598,2687603,1.0137825794871795,19.088510121656228,19.102198585112838,3.7921094393026675,528,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Jack the Giant Slayer
7.3,105000000,351040419,61.196071,143.0,3769,246040419,3.343242085714285,18.46947091764561,19.676411931495274,4.13029183054743,295,7.5,7.5,7.5200000000000005,2013.0,10.0,2010.0,1,0,1,3,3,1,The Great Gatsby
6.2,150000000,335154643,62.169881,116.0,2317,185154643,2.234364286666666,18.826145858727198,19.630102607154413,4.145827621103231,266,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Prince of Persia: The Sands of Time
6.7,180000000,407602906,56.523205,131.0,4794,227602906,2.264460588888889,19.00846741441004,19.82580399127956,4.052188431610156,800,7.5,7.5,7.5200000000000005,2013.0,11.0,2010.0,1,0,1,3,3,1,Pacific Rim
6.1,195000000,1123746996,28.529607,154.0,3299,928746996,5.762805107692308,19.088510121656228,20.839934471443975,3.3853933871674418,313,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Transformers: Dark of the Moon
5.7,185000000,786636033,75.674458,122.0,2495,601636033,4.252086664864865,19.035866388448003,20.48327622672714,4.339568641178461,408,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Indiana Jones and the Kingdom of the Crystal Skull
6.6,175000000,331926147,51.692953,93.0,1736,156926147,1.89672084,18.980296537602072,19.620423056352898,3.9644817274410267,107,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,The Good Dinosaur
6.7,185000000,538983207,125.114374,93.0,4641,353983207,2.9134227405405406,19.035866388448003,20.105194974399108,4.837189225372334,577,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Brave
6.6,185000000,343471816,65.352913,122.0,2568,158471816,1.8566044108108108,19.035866388448003,19.654615619681344,4.194987663356308,185,7.5,7.5,7.5200000000000005,2016.0,7.0,2010.0,1,1,0,3,2,1,Star Trek Beyond
7.8,180000000,521311860,66.390712,98.0,6296,341311860,2.896177,19.00846741441004,20.071859002213046,4.210507204268094,379,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,WALL·E
6.1,140000000,258022233,22.57178,91.0,783,118022233,1.84301595,18.757152987716434,19.36855631746733,3.160050233825037,389,7.5,7.5,7.5200000000000005,2007.0,8.0,2000.0,1,1,1,3,2,1,Rush Hour 3
5.6,200000000,769653595,45.274225,158.0,4903,569653595,3.848267975,19.11382792951231,20.461451096263065,3.834585110615373,687,7.5,7.5,7.5200000000000005,2009.0,10.0,2000.0,1,0,1,3,3,1,2012
6.6,200000000,325233863,39.744242,96.0,1095,125233863,1.626169315,19.11382792951231,19.60005506305781,3.7073145290895027,381,7.5,7.5,7.5200000000000005,2009.0,4.0,2000.0,1,0,1,3,1,1,A Christmas Carol
5.2,176000003,183987723,85.36908,124.0,2768,7987720,1.0453847719536686,18.9859945757297,19.03037959595625,4.458629741388757,194,7.5,7.5,7.5200000000000005,2015.0,4.0,2010.0,1,0,1,3,1,1,Jupiter Ascending
5.5,180000000,356743061,42.741719,109.0,2430,176743061,1.9819058944444443,19.00846741441004,19.692526366339536,3.7783023148879034,146,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,The Legend of Tarzan
6.7,180000000,748806957,67.391328,143.0,2629,568806957,4.16003865,19.00846741441004,20.43399177528534,4.2252460329650505,391,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,1,1,1,3,2,1,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
6.4,178000000,543934787,139.272042,144.0,4721,365934787,3.05581341011236,18.997294113874336,20.114339922634635,4.943583694264458,137,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,X-Men: Apocalypse
8.2,185000000,1004558444,187.322927,152.0,12002,819558444,5.430045643243243,19.035866388448003,20.727813923702396,5.238158186084468,396,7.942857142857142,7.6,7.336363636363637,2005.0,7.0,2000.0,0,0,1,3,3,1,The Dark Knight
7.7,175000000,735099082,92.201962,96.0,6870,560099082,4.200566182857143,18.980296537602072,20.41551585489421,4.534768772972112,274,7.733333333333333,7.7,7.507692307692308,2005.0,7.0,2000.0,0,0,0,3,3,1,Up
6.0,175000000,381509870,36.167578,94.0,1423,206509870,2.1800564,18.980296537602072,19.75964728253492,3.615436822110821,333,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Monsters vs Aliens
7.4,140000000,585174222,120.725053,126.0,8776,445174222,4.179815871428572,18.757152987716434,20.18742017795144,4.801764837476351,132,7.4,7.266666666666667,7.45625,2005.0,7.0,2000.0,0,0,1,3,3,1,Iron Man
7.0,170000000,185770160,32.319043,126.0,2141,15770160,1.0927656470588236,18.951309000896888,19.04002077403029,3.5061290953975766,729,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Hugo
